165	60	F
174	55	F
165	57	F
164	58	F
159	60	F
165	53	F
168	65	F
167	47	F
160	46	F
163	49	F
169	51	F
168	50	F
165	51	F
170	51	F
156	46	F
155	44	F
162	50	F
153	49	F
163	58	F
155	80	F
164	60	F
161	52	F
167	58	F
158	48	F
165	51	F
167	55	F
163	51	F
160	50	F
160	50	F
158	51	F
158	46	F
165	48	F
160	54	F
161	43	F
160	51	F
168	42	F
160	45	F
174	61	F
163	50	F
162	48	F
168	58	F
165	55	F
167	53	F
168	57	F
162	49.5	F
167	56	F
158	50	F
167	52	F
167	55	F
162	56	F
158	52	F
160	50	F
160	41	F
165	49	F
170	57	F
157	53	F
173	60	F
160	48	F
163	62	F
160	51	F
155	51	F
172	54	F
168	50	F
169	45	F
160	44	F
158	42	F
170	62	M
161	80	M
170	70	M
166	65	M
180	68	M
180	75	M
178	60	M
170	50	M
174	70	M
183	70	M
175	58	M
178	65	M
173	63	M
175	70	M
173	56	M
174	70	M
172	62	M
172	55	M
172	67	M
170	93	M
180	70	M
178	64	M
189	74	M
173	57	M
165	60	M
173	57	M
183	71	M
182	85	M
175	73.5	M
165	52	M
175	79	M
175	75	M
170	50	M
172	65	M
183	62	M
172	65	M
170	59	M
176	74	M
178	85	M
183	65	M
168	68	M
171	51	M
176	73	M
173	57	M
183	71	M
173	58	M
163	51	M
193	78	M
175	85	M
165	53	M
180	74	M
178	55	M
172	52	M
178	74	M
170	64	M
175	80	M
168	70	M
173	65	M
170	66	M
187	66	M
172	65	M
168	50	M
176	59	M
173	60	M
175	66	M
170	51	M
171	80	M
171	52	M
175	65	M
182	71	M
172	65	M
183	65	M
156	51	M
175	75	M
176	63	M
174	60	M
165	50	M
168	60	M
165	56	M
